Unnamed: 0,URL,Image_Name,Folder_Name,Store_Name,Store_Category,Store_Location,NIMA Model Score,Paq2piq Local Score,Paq2piq Global Score,Paq2piq Class,Strengths,Strengths_Keywords,Human Eye Focus,Human Eye Focus_Keywords,Suggestion,Suggestion_Keywords,Improved_Strengths,Improved_Strengths_Keywords,Improved_Human Eye Focus,Improved_Human Eye Focus_Keywords,Improved_Suggestion,Improved_Suggestion_Keywords,Neuron_Strengths,Neuron__Strengths_Keywords,Neuron_Human Eye Focus,Neuron_Human Eye Focus_Keywords,Neuron_Suggestion,Neuron_Suggestion_Keywords,Neuron_Focus,Neuron_Cognitive Demand,Neuron_Clarity,Neuron_Engagement,rescaled_nima_score
11,https://drive.google.com/file/d/1iddVIYiz5fLlC24mOgQUL7YKrsvDaJ1A/view?usp=drive_link,11_Cafe for Bowls.HEIC,Restaurant,Vitality Bowls San Jose - Brokaw,American Restaurant,"San Jose, CA",6.052596457,67.58039856,71.41436471,Good,"Modern, sleek design: 'Vitality Bowls' signage is clean and professional.
Outdoor seating: Provides an inviting space for customers.","Modern, sleek design, Outdoor seating","Primary Focus on the 'Vitality Bowls' logo and signage.
Secondary Focus on the red umbrella and outdoor seating.","Logo Focus, Seating area","Add more plants or decor to enhance the outdoor seating area.
Consider a larger 'Open' sign for better visibility.","Outdoor Decor, Open Sign","Modern Aesthetic: The sleek design and clean signage provide a professional look.
Outdoor Seating: The red umbrella adds a pop of color, making the seating area more appealing.","Sleek Design, Inviting Seating","Primary Focus: The ""Vitality Bowls"" logo is clean and easy to read.
Secondary Focus: The red umbrella draws attention to the outdoor space. ","Logo Focus, Seating Highlight","Add Greenery: Incorporate plants or decor to soften the modern design.
Improve Signage Lighting: Enhance the visibility of the logo at night. ","Greenery Addition, Lighting Enhancement",,,,,,,51.0,48.0,62.0,71.0,
12,https://drive.google.com/file/d/1QFDY1rADefd08SphmtCnP2KCzyKV6ywB/view?usp=drive_link,12_Kazoo Sushi.HEIC,Restaurant,Kazoo Japanese Sushi Boat Restaurant,Asian Restaurant,"San Jose, CA",5.774878282,69.84259796,72.51947509,Good,"Authentic Japanesestyle decor: Hanging lanterns create a traditional feel.
Clear signage: 'Kazoo Restaurant' sign is bold and easy to read.","Authentic Japanesestyle decor, Clear signage","Primary Focus on the red door and 'Kazoo' sign.
Secondary Focus on the hanging lanterns and 'Open Now' sign.","Red door, Open sign","Enhance the entrance area with additional lighting for evening hours.
Add more seating or decorative elements to attract more foot traffic.","Lighting Enhancement, Entrance Appeal","Authentic Decor: The Japanese lanterns and traditional styling create an inviting, cultural feel.
Visible Signage: The large ""Kazoo"" sign is clear and easy to read. ","Cultural Decor, Clear Signage","Primary Focus: The hanging lanterns and red door immediately grab attention.
Secondary Focus: The ""Open Now"" signage reinforces accessibility. ","Lantern Appeal, Door Focus","Enhance Lighting: Add soft lighting to accentuate the lanterns during the evening.
Refresh Exterior: Repaint or maintain exterior elements to keep them vibrant. ","Lighting Enhancement, Exterior Refresh",,,,,,,71.0,69.0,57.0,82.0,
13,https://drive.google.com/file/d/1bD_lL_-6L_YLivHtSwzODcmfEIINNgAM/view?usp=drive_link,13_Sandwich.jpeg,Restaurant,Annie's Sandwiches,Asian Restaurant,"Santa Clara, CA",5.857510433,67.4678421,74.31050067,Good,"Dual business offering: Combines sandwich shop and cleaners for convenience.
Visible 'Open' signs: Clearly indicates the business status.","Dual business offering, Visible 'Open' signs","Primary Focus on the 'Annie's Sandwiches' and 'University Cleaners' signs.
Secondary Focus on the 'Open' neon signs and window display.","Logo focus, Neon sign","Update exterior paint to freshen up the appearance.
Improve signage lighting for better visibility in the evening.","Exterior Paint, Signage Lighting","Dual Functionality: Combining a sandwich shop with cleaners provides convenience and draws diverse customers.
Clear Signage: The storefront displays business names and services in a readable manner, aiding customer recognition. ","Dual Function, Clear Signage","Primary Focus on Store Name: The dark blue sign with gold lettering naturally catches attention.
Secondary Focus on Window Text: The detailed window text provides service information but can appear cluttered.","Store Name, Window Signage","Modernize Signage: Update the design of the signage to improve appeal and visibility.
Declutter Windows: Remove some text or rearrange window signage to reduce visual overload.","Signage Upgrade, Window Simplification",,,,,,,65.0,56.0,70.0,65.0,
14,https://drive.google.com/file/d/1Q7Ttjbvdyj3OZmptEi6atWTTI-T-9Shu/view?usp=drive_link,14_French Restaurant.PNG,Restaurant,The Girl & The Fig,French Restaurant,"Sonoma, CA",5.410686769,67.4950943,75.44604792,Good,"Charming exterior with Frenchstyle decor: Inviting for pedestrians.
Menu board clearly displayed: Highlights key offerings like charcuterie.","Charming exterior, Menu display","Primary Focus on the red double doors and hanging sign.
Secondary Focus on the outdoor menu board and seating area.","Red door, Open sign, Seating area","Refresh the exterior paint and awning to maintain a clean look.
Add more lighting to enhance nighttime visibility and appeal.","Paint Refresh, Lighting Enhancement","Charming French Design: The red door and rustic elements provide a cozy and authentic look.
Inviting Menu Board: The outdoor chalkboard highlights key offerings, attracting passersby. ","Rustic Design, Menu Board","Primary Focus on Red Door: The vibrant red door creates an immediate focal point.
Secondary Focus on Chalkboard Sign: The decorative chalkboard grabs attention, encouraging engagement.","Door, Signage","Refresh Exterior Elements: Repaint and maintain outdoor elements to sustain a clean, welcoming appearance.
Add Lighting: Increase lighting near the menu board and storefront for nighttime visibility.","Exterior Refresh, Lighting Enhancement",,,,,,,84.0,80.0,52.0,84.0,
15,https://drive.google.com/file/d/1H3cQKxqshk1OhfcdIJ5uITotePBpgTdL/view?usp=drive_link,15_Branch Cafe.PNG,Restaurant,Kenny's Cafe,American Restaurant,"Santa Clara, CA",5.82925719,67.71338654,78.27629803,Good,"Bold and playful signage: 'Kenny's Cafe' stands out with large burger graphic.
Patriotic theme with flags: Adds unique character to the cafe.","Bold and playful signage, Patriotic theme with flags","Primary Focus on the large burger image and 'Kenny's Cafe' sign.
Secondary Focus on the 'Breakfast' and 'Lunch' signs, and seating area.","Large Image, Signage focus, Seating area","Simplify the signage for a cleaner look.
Enhance the seating area with updated furniture or decor.","Signage Simplification, Seating Update","Bold Signage: The large ""Kenny's Cafe"" lettering combined with the burger graphic effectively grabs attention.
Patriotic Theme: The flags add a unique character, making the storefront memorable.","Bold Signage, Patriotic Elements","Primary Focus: The large burger graphic dominates the visual field.
Secondary Focus: The ""Breakfast"" and ""Lunch"" signs direct attention to the offerings. ","Graphic Focus, Menu Highlights","Simplify Signage: Reduce the visual clutter for a cleaner, more modern look.
Improve Seating Area: Update the outdoor furniture to create a more inviting environment. ","Signage Simplification, Seating Improvement",,,,,,,78.0,76.0,51.0,69.0,
16,https://drive.google.com/file/d/169IgfmgXXUBr3tdIsTNLgCzt8JEEcNpO/view?usp=drive_link,16_Pho.jpeg,Restaurant,Pho Bel Air,Asian Restaurant,"San Jose, CA",5.857510433,63.30535126,74.51545459,Good,"Clear and bold signage: 'Pho BelAir' stands out with a modern design.
Outdoor seating option: Invites customers to sit and enjoy the atmosphere.","Clear and bold signage, Outdoor seating","Primary Focus on the 'Pho BelAir' signage.
Secondary Focus on the outdoor seating area and entrance.","Signage focus, Seating area and entrance","Add more decorative elements to enhance the seating area.
Improve lighting to make the storefront more visible at night.","Decorative Elements, Lighting Improvement","Clear Branding: The ""Pho Bel-Air"" sign prominently communicates the restaurant’s identity.
Outdoor Seating: The chairs add a casual dining appeal to the space.","Branding Clarity, Seating Option","Primary Focus: The ""Pho Bel-Air"" logo draws immediate attention.
Secondary Focus: The outdoor seating area adds to the inviting feel.","Logo Focus, Seating Draw","Add Exterior Decor: Enhance the seating area with plants or themed decor.
Improve Lighting: Install warm lights to make the storefront more welcoming at night.","Decor Enhancement, Lighting Update",,,,,,,45.0,48.0,59.0,79.0,
17,https://drive.google.com/file/d/1_BbTbK6aDtE6zy8Lz0MwQMFjlX967zHw/view?usp=drive_link,17_Pizza.PNG,Restaurant,Slice Pizza,American Restaurant,"San Jose, CA",5.562013958,66.3438797,77.28941471,Good,"Eyecatching red awning and signage: 'Slice Pizza' stands out with bold colors.
Outdoor seating available: Enhances customer experience.","Eye catching red signage, Outdoor seating","Primary Focus on the 'Slice Pizza' logo and red seating.
Secondary Focus on the promotional signs and 'Open' sign.","Logo Focus, Seating area, Open sign","Reduce clutter on the windows for a cleaner look.
Consider updating outdoor furniture to make it more modern and inviting.","Clutter Reduction, Furniture Update","Eye-Catching Awning: The red awning and bold logo stand out.
Inviting Seating: The outdoor chairs make the space approachable and friendly. ","Bold Awning, Friendly Seating","Primary Focus: The ""Slice Pizza"" logo and red awning dominate the view.
Secondary Focus: The menu posters and ""Open"" sign catch attention secondarily.","Logo Visibility, Menu Posters","Simplify Window Signage: Reduce visual clutter for a cleaner appearance.
Update Furniture: Modernize outdoor seating to attract more customers. ","Signage Simplification, Furniture Update",,,,,,,43.0,65.0,68.0,79.0,
18,https://drive.google.com/file/d/13jGing5dEuII21qysZRmq63Sc3rreOxb/view?usp=drive_link,18_Bread bakery.HEIC,Restaurant,Beard Papa's,Bakery Store,"Cupertino, CA",5.751986619,67.01358032,72.38399529,Good," Fun and recognizable logo: 'Beard Papa's' logo is playful and engaging.
 Large windows: Offer a clear view inside, making the store inviting.","Fun logo, Window view","Primary Focus on the 'Beard Papa's' logo.
Secondary Focus on the 'Open' sign and display cases inside.","Logo Focus, Open sign"," Add more decorative elements like window art to catch attention.
 Enhance the lighting around the entrance for better nighttime visibility.","Window Art, Lighting Enhancement","Playful Branding: The recognizable logo and name create a fun, family-friendly atmosphere.
Clear Windows: Large windows allow visibility inside, making the store inviting.","Family Appeal, Transparent Design","Primary Focus: The bold ""Beard Papa's"" logo.
Secondary Focus: The neon ""Open"" sign draws attention. ","Logo Emphasis, Open Sign","Add Window Decor: Use creative designs to make the storefront even more engaging.
Improve Entrance Lighting: Enhance the entrance with warm lighting for nighttime customers.","Window Creativity, Lighting Update",,,,,,,58.0,54.0,65.0,75.0,
19,https://drive.google.com/file/d/10Sjm3BibHoRp50_CogXbgo-8tDL3DQHn/view?usp=drive_link,19_European Cuisine.HEIC,Restaurant,House of Falafel,European Restaurant,"Cupertino, CA",4.884392083,69.21324158,72.85796531,Good," Simple and straightforward signage: 'House of Falafel' is clear and easy to read.
 Visible menu offerings: Clear signage showing 'Shawerma' and 'Falafel'.","Straight forward signage, Visible menu"," Primary Focus on the 'House of Falafel' signage.
 Secondary Focus on the menu offerings inside.","Signage focus, Menu offering","Update the storefront exterior to make it more modern.
Add more outdoor seating or decor to attract customers.","Exterior Update, Outdoor Seating","Simple Signage: The ""House of Falafel"" sign is straightforward and easy to read.
Visible Menu: The menu offerings are clearly displayed, helping with customer decisions.","Simple Signage, Menu Display","Primary Focus: The ""House of Falafel"" logo.
Secondary Focus: The menu signage within the windows.","Logo Focus, Menu Highlights","Update Exterior Design: Modernize the storefront to improve appeal.
Add Outdoor Seating: Create a cozy area to attract more customers.","Design Modernization, Seating Addition",,,,,,,77.0,72.0,65.0,72.0,
20,https://drive.google.com/file/d/1CRy8dm9NjzwyGMsfKN1a2RvrNz4AfWMS/view?usp=drive_link,20_Shabu hotpot.HEIC,Restaurant,One Pot Shabu Shabu,Asian Restaurant,"Cupertino, CA",5.544512838,68.07523346,74.48877555,Good," Bold signage with a traditional touch: 'One Pot' stands out with clear branding.
 Authentic Shabu Shabu neon sign: Highlights the food offering.","Bold signage, Neon signs"," Primary Focus on the 'One Pot' sign.
 Secondary Focus on the neon 'Shabu's ON' sign in the window.","Signage focus, Neon sign","Consider adding more decorative elements around the entrance.
Improve the lighting to make the storefront more visible in the evening.","Entrance Decor, Lighting Improvement","Bold Signage: The large ""One Pot"" sign is clear and stands out.
Themed Signage: The neon ""Shabu's ON"" sign highlights the cuisine.","Bold Signage, Themed Elements","Primary Focus: The ""One Pot"" sign captures attention first.
Secondary Focus: The neon sign adds character and appeal.","Signage Highlight, Neon Charm","Enhance Entrance Decor: Add greenery or thematic decorations to the entrance.
Improve Signage Lighting: Increase the brightness of signs for evening visibility.","Entrance Decor, Lighting Enhancement",,,,,,,91.0,52.0,64.0,79.0,
21,https://drive.google.com/file/d/1duLXXU0A8d2c0O6FsJiWJQdLsNkxR5UW/view?usp=drive_link,21_Bar.jpeg,Restaurant,Gordon Biersch Brewing Company,Liquor Bar,"San Jose, CA",5.569891088,69.12408447,65.76224658,Good,"Classic industrial design: 'Gordon Biersch' exudes a strong brand identity.
Unique brick and concrete combination: Enhances the brewery feel.","Classic design, Unique entrance"," Primary Focus on the 'Gordon Biersch' sign.
 Secondary Focus on the entrance and G/B logo.","Signage focus, Logo and entrance","Update signage lighting to improve visibility during evening hours.
Enhance curb appeal with more greenery or outdoor seating.","Lighting Improvement, Curb Appeal","Classic Industrial Design: The use of brick and stone conveys a strong and authentic brand identity.
Unique Branding: The ""G/B"" logo stands out as a bold, recognizable element. ","Industrial Aesthetic, Bold Branding","Primary Focus: The ""Gordon Biersch"" signage naturally draws attention.
Secondary Focus: The entrance and the ""G/B"" logo catch the eye. ","Main Signage, Logo Focus","Enhance Signage Lighting: Add subtle lighting to highlight the logo and text during evening hours.
Add Greenery: Incorporate plants near the entrance for a softer, more inviting look.","Lighting Improvement, Entrance Greenery",,,,,,,88.0,75.0,42.0,74.0,
22,https://drive.google.com/file/d/1H_Nqei7FtZo1uLXGlWJ7OvtWOXT1Bo62/view?usp=drive_link,22_Cafe.HEIC,Restaurant,Con Azucar Cafe,Coffee Shop,"San Jose, CA",4.827532079,66.20082092,70.34860206,Good,"Vibrant and colorful signage: 'Con Azucar' grabs attention with a bold design.
Large windows: Allow customers to view inside, making the space more inviting.","Vibrant and colorful signage, Large windows","Primary Focus on the 'Con Azucar' sign.
Secondary Focus on the 'Open' neon sign and window displays.","Signage focus, Neon sign, Window display"," Add more decorative elements to the outdoor area for a welcoming vibe.
 Consider improving the awning design to make the storefront stand out more.","Outdoor Decor, Awning Design","Vibrant Signage: The bold red ""Con Azucar"" sign is eye-catching and creates a fun vibe.
Large Windows: Clear glass allows visibility into the shop, making it welcoming.","Vibrant Sign, Welcoming Design","Primary Focus: The colorful signage dominates the view.
Secondary Focus: The window displays and neon ""Open"" sign engage attention.","Colorful Signage, Neon Highlight","Add Exterior Decor: Use plants or art to make the entrance more inviting.
Improve Lighting: Brighten the signage and surrounding area to boost evening appeal. ","Decor Addition, Lighting Update",,,,,,,77.0,48.0,59.0,73.0,
